16:08;HORA INICIO;FECHA FIN;HORA FIN;EPISODIO;PROTOCOLO;ESCENARIO;MEDIDA
03/07/2013;18:00;03/07/2013;20:00;1;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
03/07/2013;18:00;03/07/2013;20:00;1;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
07/07/2013;17:00;07/07/2013;22:00;2;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
07/07/2013;17:00;07/07/2013;22:00;2;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
08/07/2013;17:00;08/07/2013;22:00;3;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
08/07/2013;17:00;08/07/2013;22:00;3;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
09/07/2013;16:00;09/07/2013;18:00;4;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
09/07/2013;16:00;09/07/2013;18:00;4;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
26/07/2014;14:00;26/07/2014;17:00;5;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
26/07/2014;14:00;26/07/2014;17:00;5;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
27/07/2014;16:00;27/07/2014;20:00;6;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
27/07/2014;16:00;27/07/2014;20:00;6;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
05/08/2014;18:00;05/08/2014;19:00;7;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
05/08/2014;18:00;05/08/2014;19:00;7;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
27/06/2015;15:00;27/06/2015;17:00;8;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
27/06/2015;15:00;27/06/2015;17:00;8;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
29/06/2015;15:00;19/06/2015;16:00;9;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
29/06/2015;15:00;19/06/2015;16:00;9;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
09/07/2015;17:00;09/07/2015;18:00;10;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
09/07/2015;17:00;09/07/2015;18:00;10;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
11/07/2015;16:00;11/07/2015;20:00;11;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
11/07/2015;16:00;11/07/2015;20:00;11;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
12/07/2015;16:00;12/07/2015;18:00;12;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
12/07/2015;16:00;12/07/2015;18:00;12;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
13/07/2015;17:00;13/07/2015;22:00;13;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
13/07/2015;17:00;13/07/2015;22:00;13;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
14/07/2015;16:00;14/07/2015;22:00;14;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
14/07/2015;16:00;14/07/2015;22:00;14;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
15/07/2015;15:00;15/07/2015;22:00;15;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
15/07/2015;15:00;15/07/2015;22:00;15;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
27/06/2016;19:00;27/06/2016;22:00;16;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
27/06/2016;19:00;27/06/2016;22:00;16;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
05/07/2016;17:00;05/07/2016;18:00;17;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
05/07/2016;17:00;05/07/2016;18:00;17;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
06/07/2016;17:00;06/07/2016;20:00;18;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
06/07/2016;17:00;06/07/2016;20:00;18;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
16/06/2017;17:00;16/06/2017;20:00;19;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
16/06/2017;17:00;16/06/2017;20:00;19;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
15/07/2017;19:00;15/07/2017;22:00;20;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
15/07/2017;19:00;15/07/2017;22:00;20;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
25/06/2018;18:00;25/06/2018;19:00;21;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
25/06/2018;18:00;25/06/2018;19:00;21;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
26/08/2018;16:00;26/08/2018;18:00;22;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
26/08/2018;16:00;26/08/2018;18:00;22;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
01/08/2018;19:00;01/08/2018;21:00;23;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
01/08/2018;19:00;01/08/2018;21:00;23;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
11/07/2019;16:00;11/07/2019;19:00;24;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
11/07/2019;16:00;11/07/2019;19:00;24;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
18/07/2019;18:00;18/07/2019;20:00;25;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
18/07/2019;18:00;18/07/2019;20:00;25;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
13/07/2022;15:00;13/07/2022;20:00;26;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
23/06/2023;18:00;23/06/2023;21:00;27;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
23/06/2023;18:00;23/06/2023;21:00;27;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
24/06/2023;18:00;24/06/2023;21:00;28;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
24/06/2023;18:00;24/06/2023;21:00;28;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
25/06/2023;14:00;25/06/2023;15:00;29;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
25/06/2023;14:00;25/06/2023;15:00;29;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
26/06/2023;15:00;26/06/2023;17:00;30;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
26/06/2023;15:00;26/06/2023;17:00;30;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
27/06/2023;17:00;27/06/2023;21:00;31;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
27/06/2023;17:00;27/06/2023;21:00;31;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
28/06/2023;17:00;28/06/2023;20:00;32;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
28/06/2023;17:00;28/06/2023;20:00;32;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
01/08/2023;16:00;01/08/2023;20:00;33;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
01/08/2023;16:00;01/08/2023;20:00;33;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
11/08/2023;17:00;11/08/2023;19:00;34;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
11/08/2023;17:00;11/08/2023;19:00;34;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
04/07/2024;16:00;04/07/2024;23:00;35;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
04/07/2024;16:00;04/07/2024;23:00;35;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
12/07/2024;16:00;12/07/2024;18:00;36;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
12/07/2024;16:00;12/07/2024;18:00;36;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
24/07/2024;15:00;24/07/2024;18:00;37;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
24/07/2024;15:00;24/07/2024;18:00;37;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
25/07/2024;14:00;25/07/2024;19:00;38;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
25/07/2024;14:00;25/07/2024;19:00;38;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
26/07/2024;16:00;26/07/2024;21:00;39;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
26/07/2024;16:00;26/07/2024;21:00;39;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
27/07/2024;16:00;27/07/2024;17:00;40;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
27/07/2024;16:00;27/07/2024;17:00;40;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
01/08/2024;15:00;01/08/2024;16:00;41;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
01/08/2024;15:00;01/08/2024;16:00;41;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
29/05/2025;19:00;29/05/2025;21:00;42;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
29/05/2025;19:00;29/05/2025;21:00;42;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
09/06/2025;16:00;09/06/2025;18:00;43;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
09/06/2025;16:00;09/06/2025;18:00;43;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
17/06/2025;15:00;17/06/2025;16:00;44;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
17/06/2025;15:00;17/06/2025;16:00;44;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
26/06/2025;18:00;26/06/2025;22:00;45;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
26/06/2025;18:00;26/06/2025;22:00;45;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
27/06/2025;17:00;27/06/2025;20:00;46;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
27/06/2025;17:00;27/06/2025;20:00;46;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
28/06/2025;19:00;28/06/2025;21:00;47;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
28/06/2025;19:00;28/06/2025;21:00;47;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
02/07/2025;15:00;02/07/2025;17:00;48;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
02/07/2025;15:00;02/07/2025;17:00;48;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
16/07/2025;16:00;16/07/2025;19:00;49;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
16/07/2025;16:00;16/07/2025;19:00;49;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
21/07/2025;19:00;21/07/2025;21:00;50;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
21/07/2025;19:00;21/07/2025;21:00;50;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
05/08/2025;15:00;05/08/2025;16:00;51;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
05/08/2025;15:00;05/08/2025;16:00;51;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
07/08/2025;15:00;07/08/2025;17:00;52;OZONO;INFORMACIÓN A LA POBLACIÓN;"RECOMENDACIONES SECTORES VULNERABLES (PÁGINA WEB, PANELES, SMS, APP ""AIRE DE MADRID"")"
07/08/2025;15:00;07/08/2025;17:00;52;OZONO;INFORMACIÓN A LA POBLACIÓN;COMUNICACIÓN A PERSONAS, DEPARTAMENTOS Y ORGANISMOS
