NOMBRE PARQUE,id_treecount,ESPECIE,UNIDADES 2024
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_x Cupressocyparis x leylandii,x Cupressocyparis x leylandii,72
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Pyrus calleryana 'Chanticleer',Pyrus calleryana 'Chanticleer',72
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Liquidambar styraciflua,Liquidambar styraciflua,55
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Olea europaea,Olea europaea,49
ZONAS VERDES DISTRITO C - LAS TABLAS,ZONAS VERDES DISTRITO C - LAS TABLAS_Otros,Otros,349
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Celtis australis,Celtis australis,882
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Morus alba 'Fruitless',Morus alba 'Fruitless',412
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Koelreuteria paniculata,Koelreuteria paniculata,347
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Fraxinus angustifolia,Fraxinus angustifolia,287
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Prunus dulcis,Prunus dulcis,258
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Olea europaea,Olea europaea,163
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Pinus pinea,Pinus pinea,126
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Cercis siliquastrum,Cercis siliquastrum,119
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Aesculus hippocastanum,Aesculus hippocastanum,112
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Pyrus calleryana 'Chanticleer',Pyrus calleryana 'Chanticleer',112
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI,PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI_Otros,Otros,1973
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Celtis australis,Celtis australis,327
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Prunus dulcis,Prunus dulcis,244
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Acer campestre,Acer campestre,163
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Olea europaea,Olea europaea,128
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Malus 'Evereste',Malus 'Evereste',120
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Melia azedarach,Melia azedarach,101
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Ziziphus jujuba,Ziziphus jujuba,100
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Populus nigra,Populus nigra,67
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Koelreuteria paniculata,Koelreuteria paniculata,64
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Tilia cordata 'Greenspire',Tilia cordata 'Greenspire',62
PARQUE PRINCESA LEONOR,PARQUE PRINCESA LEONOR_Otros,Otros,579
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Pinus halepensis,Pinus halepensis,2861
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Pinus pinea,Pinus pinea,2854
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Celtis australis,Celtis australis,1260
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Quercus ilex,Quercus ilex,842
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Platanus orientalis,Platanus orientalis,634
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Cedrus deodara,Cedrus deodara,620
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Ulmus pumila,Ulmus pumila,389
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Quercus robur,Quercus robur,306
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Melia azedarach,Melia azedarach,287
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Cupressus sempervirens,Cupressus sempervirens,253
CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA,CUÑA VERDE DE O´DONNELL Y  FUENTE CARRANTONA_Otros,Otros,3357
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Cedrus deodara",Cedrus deodara,53
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Acer negundo",Acer negundo,17
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Acer campestre",Acer campestre,7
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Thuja occidentalis",Thuja occidentalis,7
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Prunus cerasifera  subsp. pissardii",Prunus cerasifera  subsp. pissardii,6
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Populus alba 'Bolleana'",Populus alba 'Bolleana',5
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Betula utilis",Betula utilis,2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Cedrus atlantica 'Glauca'",Cedrus atlantica 'Glauca',2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Carpinus betulus",Carpinus betulus,2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Ligustrum japonicum",Ligustrum japonicum,2
"ROSALEDA DE MADRID ""RAMON ORTIZ""","ROSALEDA DE MADRID ""RAMON ORTIZ""_Otros",Otros,13
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Platanus x hispanica,Platanus x hispanica,160
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer campestre,Acer campestre,80
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer platanoides 'Crimson King',Acer platanoides 'Crimson King',68
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer saccharinum,Acer saccharinum,67
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Cercis siliquastrum,Cercis siliquastrum,43
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Physostegia virginiana,Physostegia virginiana,42
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Punica granatum,Punica granatum,41
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer x freemanii 'Autumn Blaze',Acer x freemanii 'Autumn Blaze',39
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Acer monspessulanum,Acer monspessulanum,34
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Koelreuteria paniculata,Koelreuteria paniculata,33
JARDINES DE LA PLAZA DE ESPAÑA,JARDINES DE LA PLAZA DE ESPAÑA_Otros,Otros,385
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Celtis australis,Celtis australis,256
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Fraxinus angustifolia,Fraxinus angustifolia,248
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Melia azedarach,Melia azedarach,210
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Quercus ilex,Quercus ilex,199
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Morus alba,Morus alba,183
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Acer campestre,Acer campestre,167
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Gleditsia triacanthos,Gleditsia triacanthos,125
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Cydonia oblonga,Cydonia oblonga,123
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Elaeagnus angustifolia,Elaeagnus angustifolia,123
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Ulmus pumila,Ulmus pumila,114
PARQUE DE LA GAVIA,PARQUE DE LA GAVIA_Otros,Otros,1435
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Pinus pinea,Pinus pinea,574
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Pyrus calleryana,Pyrus calleryana,54
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Celtis australis,Celtis australis,38
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Fraxinus sp,Fraxinus sp,33
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Fraxinus angustifolia,Fraxinus angustifolia,31
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Tilia cordata,Tilia cordata,30
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Populus nigra,Populus nigra,27
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Quercus ilex,Quercus ilex,15
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Quercus rubra,Quercus rubra,15
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Acer pseudoplatanus,Acer pseudoplatanus,14
PARQUE DE LA ATALAYUELA,PARQUE DE LA ATALAYUELA_Otros,Otros,23
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Ulmus minor,Ulmus minor,1020
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Prunus dulcis,Prunus dulcis,295
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Ailanthus altissima,Ailanthus altissima,207
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cercis siliquastrum,Cercis siliquastrum,170
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Pinus pinea,Pinus pinea,151
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Celtis australis,Celtis australis,149
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cedrus deodara,Cedrus deodara,130
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cupressus sempervirens,Cupressus sempervirens,111
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Cedrus atlantica,Cedrus atlantica,95
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Pinus halepensis,Pinus halepensis,93
JARDÍN DE LA  QUINTA DE TORRE ARIAS,JARDÍN DE LA  QUINTA DE TORRE ARIAS_Otros,Otros,857
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Pinus halepensis,Pinus halepensis,356
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Olea europaea,Olea europaea,230
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Prunus dulcis,Prunus dulcis,227
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Quercus faginea,Quercus faginea,204
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Juniperus phoenicea,Juniperus phoenicea,112
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Quercus ilex,Quercus ilex,92
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Ulmus pumila,Ulmus pumila,89
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Cupressus sempervirens,Cupressus sempervirens,72
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Celtis australis,Celtis australis,56
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Quercus coccifera,Quercus coccifera,50
BOSQUE DE LOS ABRAZOS PERDIDOS,BOSQUE DE LOS ABRAZOS PERDIDOS_Otros,Otros,310
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Pinus pinea,Pinus pinea,518
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Celtis australis,Celtis australis,304
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Ulmus pumila,Ulmus pumila,249
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Acer pseudoplatanus,Acer pseudoplatanus,190
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Melia azedarach,Melia azedarach,135
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Pinus halepensis,Pinus halepensis,119
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Quercus coccifera,Quercus coccifera,106
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Quercus ilex,Quercus ilex,83
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Salix sp,Salix sp,70
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Morus nigra,Morus nigra,60
PARQUE DE LAS COMUNIDADES,PARQUE DE LAS COMUNIDADES_Otros,Otros,992
NOTA:,,,
"En este fichero unicamente figuran los datos del arbolado que está individualizado, pie a pie, en cada uno de los parques.",,,
"Los árboles situados en masas arbóresas o forestales no se incluyen aquí. Sus datos se recogen en el fichero de Masas arbóreas parques históricos, singulares y forestales",,,
Los datos registrados para el Parque Lineal del Manzanares en 2024 comprenden tanto el Parque Lineal del Manzanares como el Parque Lineal de Manzanares Sur cuyos datos pueden ser desglosados de la siguiente manera:,,,
NOMBRE PARQUE,NOMBRE PARQUE_ESPECIE,ESPECIE,UNIDADES 2024
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Pinus pinea,Pinus pinea,1483
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Platanus x hispanica,Platanus x hispanica,566
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Olea europaea,Olea europaea,506
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Celtis australis,Celtis australis,425
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Cupressus sempervirens,Cupressus sempervirens,405
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Gleditsia triacanthos,Gleditsia triacanthos,257
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Tilia platyphyllos,Tilia platyphyllos,222
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Populus nigra,Populus nigra,145
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Tilia tomentosa,Tilia tomentosa,138
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Pinus nigra,Pinus nigra,120
PARQUE LINEAL DEL MANZANARES,PARQUE LINEAL DEL MANZANARES_Otros,Otros,1245
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Populus nigra,Populus nigra,2381
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Celtis australis,Celtis australis,1822
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Pinus pinea,Pinus pinea,974
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Fraxinus angustifolia,Fraxinus angustifolia,862
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Ulmus sp,Ulmus sp,473
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Pinus halepensis,Pinus halepensis,274
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Koelreuteria paniculata,Koelreuteria paniculata,159
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Ulmus pumila,Ulmus pumila,132
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Cedrus deodara,Cedrus deodara,127
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Prunus cerasifera  subsp. pissardii,Prunus cerasifera  subsp. pissardii,120
PARQUE LINEAL DE MANZANARES SUR,PARQUE LINEAL DE MANZANARES SUR_Otros,Otros,721
