Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2015;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1169432;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;24009708;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;651450;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;1398191;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;172095;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;337330;
2016;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2049641;
2016;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;3817172;
2016;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1114655;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;559723;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;356591;
2016;Inversión total en protección ambiental de las empresas industriales;Otros;;;29706880;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;942560;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;170846;
2016;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;93192388;
2016;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;522345;
2016;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;897053;
2016;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;467063;
2016;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;20838951;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;110472;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;20838951;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;351499;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;5697172;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;3016002;
2016;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;801170;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;30980533;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;687372;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;9491053;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;333373;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;467053;
2017;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;10178425;
2017;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;6239686;
2017;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1239424;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1007417;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;241573;
2017;Inversión total en protección ambiental de las empresas industriales;Otros;;;38456256;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;906051;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;89062;
2017;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;96841223;
2017;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;212495;
2017;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1474470;
2017;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;523132;
2017;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;18588624;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;281559;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;18588624;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;123433;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;7475723;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;4544248;
2017;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1695438;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;25194834;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;539804;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;1542971;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;158759;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;459832;
2018;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;20868188;
2018;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2082775;
2018;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;9302707;
2018;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1331366;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1455708;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;143211;
2018;Inversión total en protección ambiental de las empresas industriales;Otros;;;36547324;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;1172607;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;195617;
2018;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;100829815;
2018;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;313587;
2018;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1915540;
2018;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;733161;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;589950;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;20868188;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;117970;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;11352490;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;7845543;
2018;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1457164;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;25766419;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;1253646;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;2060169;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;1584278;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;77441;
2019;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;20092508;
2019;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;3313815;
2019;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;11526797;
2019;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;3618799;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1904353;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;206719;
2019;Inversión total en protección ambiental de las empresas industriales;Otros;;;42027100;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;2034521;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;410542;
2019;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;101743972;
2019;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;1125667;
2019;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;1981794;
2019;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;367720;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;161001;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;20092508;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;715125;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;16260681;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;10450900;
2019;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;1075897;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;625685;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;307030;
2020;Inversión total en protección ambiental de las empresas industriales;Otros;;;42746611;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;26954557;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;437271;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;755458;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;133518;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;67548;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;127061;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;24419347;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;1014354;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;15792054;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;9847528;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;2965867;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;1238822;
2020;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;807122;
2020;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;109693801;
2020;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;1821476;
2020;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;693233;
2020;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;434091;
2020;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;24419347;
2020;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;3721325;
2020;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;10284799;
2020;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;1372340;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;245617;
2021;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;5337794;
2021;Inversión total en protección ambiental de las empresas industriales;Otros;;;82499601;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;42851663;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;2678105;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;3376152;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;676150;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;594637;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;188864;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;175016;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;35162739;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;39647938;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;28187516;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;3331327;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;4661644;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;1865378;
2021;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;156555760;
2021;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;37028117;
2021;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;840254;
2021;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;1545320;
2021;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;175016;
2021;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;6707479;
2021;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;30865621;
2021;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;1356456;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;2238594;
2022;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;5200088;
2022;Inversión total en protección ambiental de las empresas industriales;Otros;;;44340734;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;4691216;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;2040223;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;1474123;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;672831;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;274652;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;229387;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;0;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;0;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;39649518;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;31935048;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;782468;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;4527257;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;27438;
2022;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;166797613;
2022;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;27438;
2022;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;2513246;
2022;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;368100;
2022;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;0;
2022;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;2256591;
2022;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;33975271;
2022;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;138713;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;282802;
2023;Inversión total en protección ambiental de las empresas industriales en gestión de residuos;Otros;;;9678317;
2023;Inversión total en protección ambiental de las empresas industriales;Otros;;;74156343;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes;Otros;;;25324966;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección del aire y el clima;Otros;;;501200;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de aguas residuales;Otros;;;168402;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de gestión de residuos;Otros;;;616667;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;477114;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de reducción de ruidos y vibraciones;Otros;;;320370;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes de protección de la biodiversidad y los paisaje;Otros;;;1067072;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones independientes del resto de actividades de protección ambiental;Otros;;;22174141;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados;Otros;;;48831377;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de protección del aire y el clima;Otros;;;32840669;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de aguas residuales;Otros;;;3793016;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de gestión de residuos;Otros;;;9061650;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados del resto de actividades de protección ambiental;Otros;;;2457808;
2023;Gastos corrientes en protección ambiental de las empresas industriales;Otros;;;150327144;
2023;Inversión total en protección ambiental de las empresas industriales en el resto de actividades de protección ambiental;Otros;;;24631949;
2023;Inversión total en protección ambiental de las empresas industriales en protección y descontaminación de suelos, aguas subterráneas y aguas superficiales;Otros;;;759916;
2023;Inversión total en protección ambiental de las empresas industriales en reducción de ruidos y vibraciones;Otros;;;715802;
2023;Inversión total en protección ambiental de las empresas industriales en protección de la biodiversidad y los paisaje;Otros;;;1067072;
2023;Inversión total en protección ambiental de las empresas industriales en gestión de aguas residuales;Otros;;;3961418;
2023;Inversión total en protección ambiental de las empresas industriales en protección del aire y el clima;Otros;;;33341869;
2023;Inversión total en protección ambiental de las empresas industriales en equipos e instalaciones integrados de reducción de ruidos y vibraciones;Otros;;;395432;
