ESTACION,MAGNITUD,PUNTO_MUESTREO,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24
40,10,28079040_10_47,20,V,15,V,18,V,17,V,11,V,19,V,19,V,20,V,25,V,21,V,28,V,36,V,28,V,41,V,17,V,9,V,15,V,17,V,8,V,14,V,11,V,15,V,15,V,0,N
40,12,28079040_12_8,8,V,10,V,9,V,9,V,7,V,14,V,22,V,35,V,37,V,36,V,21,V,17,V,19,V,14,V,17,V,15,V,15,V,15,V,18,V,28,V,23,V,16,V,11,V,0,N
40,7,28079040_7_8,1,V,1,V,1,V,1,V,1,V,1,V,2,V,3,V,4,V,6,V,4,V,3,V,4,V,3,V,5,V,2,V,3,V,3,V,3,V,3,V,2,V,2,V,1,V,0,N
40,8,28079040_8_8,7,V,8,V,8,V,8,V,6,V,13,V,19,V,31,V,31,V,28,V,16,V,11,V,13,V,9,V,10,V,11,V,9,V,11,V,13,V,23,V,20,V,14,V,9,V,0,N
47,10,28079047_10_47,16,V,11,V,12,V,13,V,9,V,12,V,14,V,16,V,20,V,26,V,25,V,26,V,33,V,35,V,24,V,23,V,21,V,18,V,17,V,16,V,13,V,14,V,14,V,0,N
47,12,28079047_12_8,8,V,11,V,12,V,7,V,7,V,7,V,12,V,26,V,39,V,36,V,24,V,15,V,13,V,14,V,10,V,11,V,12,V,15,V,12,V,20,V,25,V,18,V,11,V,0,N
47,7,28079047_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,2,V,3,V,3,V,2,V,2,V,2,V,1,V,1,V,1,V,1,V,0,V,0,V,1,V,0,V,0,V,0,N
47,8,28079047_8_8,8,V,11,V,12,V,7,V,7,V,6,V,12,V,26,V,36,V,31,V,20,V,12,V,10,V,11,V,8,V,9,V,9,V,13,V,11,V,19,V,24,V,17,V,10,V,0,N
47,9,28079047_9_47,5,V,5,V,5,V,8,V,6,V,6,V,7,V,8,V,8,V,9,V,11,V,9,V,11,V,7,V,7,V,3,V,4,V,7,V,6,V,5,V,4,V,5,V,5,V,0,N
48,10,28079048_10_47,21,V,15,V,16,V,14,V,19,V,21,V,17,V,21,V,24,V,28,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,12,28079048_12_8,11,V,15,V,5,V,3,V,4,V,5,V,6,V,11,V,17,V,16,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,7,28079048_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,8,28079048_8_8,11,V,15,V,5,V,3,V,4,V,5,V,6,V,11,V,17,V,16,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
48,9,28079048_9_47,7,V,9,V,7,V,5,V,9,V,11,V,7,V,11,V,11,V,12,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N
49,12,28079049_12_8,8,V,17,V,12,V,5,V,5,V,6,V,12,V,17,V,22,V,27,V,21,V,13,V,9,V,9,V,7,V,5,V,6,V,8,V,8,V,13,V,21,V,15,V,9,V,0,N
49,14,28079049_14_6,77,V,63,V,66,V,75,V,70,V,64,V,59,V,56,V,54,V,51,V,59,V,71,V,79,V,84,V,88,V,87,V,85,V,80,V,77,V,65,V,58,V,64,V,66,V,0,N
49,7,28079049_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,2,V,1,V,1,V,1,V,1,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,N
49,8,28079049_8_8,8,V,17,V,12,V,5,V,5,V,6,V,11,V,17,V,21,V,25,V,19,V,11,V,8,V,8,V,6,V,5,V,5,V,8,V,7,V,12,V,21,V,15,V,9,V,0,N
50,10,28079050_10_47,14,V,11,V,10,V,11,V,9,V,11,V,11,V,12,V,13,V,16,V,20,V,16,V,18,V,17,V,14,V,3,V,10,V,13,V,15,V,9,V,11,V,16,V,11,V,0,N
50,12,28079050_12_8,10,V,11,V,5,V,5,V,6,V,6,V,10,V,14,V,20,V,18,V,14,V,12,V,11,V,11,V,7,V,8,V,8,V,13,V,14,V,15,V,16,V,10,V,6,V,0,N
50,7,28079050_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,2,V,2,V,1,V,1,V,2,V,1,V,1,V,1,V,1,V,0,V,0,V,0,V,0,V,0,V,0,N
50,8,28079050_8_8,10,V,11,V,5,V,5,V,6,V,6,V,10,V,13,V,19,V,16,V,11,V,9,V,9,V,9,V,6,V,7,V,7,V,11,V,14,V,15,V,16,V,10,V,6,V,0,N
50,9,28079050_9_47,7,V,6,V,5,V,5,V,3,V,5,V,5,V,5,V,4,V,5,V,8,V,6,V,6,V,6,V,4,V,0,V,3,V,5,V,6,V,1,V,4,V,8,V,3,V,0,N
54,10,28079054_10_A,26,V,16,V,21,V,25,V,26,V,25,V,12,V,20,V,25,V,25,V,27,V,26,V,27,V,23,V,24,V,20,V,18,V,22,V,23,V,19,V,22,V,30,V,25,V,0,N
54,12,28079054_12_8,8,V,11,V,10,V,13,V,13,V,14,V,24,V,38,V,51,V,40,V,26,V,25,V,21,V,12,V,12,V,15,V,17,V,21,V,34,V,37,V,30,V,17,V,12,V,0,N
54,14,28079054_14_6,77,V,69,V,65,V,57,V,58,V,54,V,48,V,40,V,36,V,45,V,58,V,65,V,75,V,84,V,90,V,88,V,88,V,80,V,67,V,59,V,59,V,66,V,64,V,0,N
54,7,28079054_7_8,0,V,0,V,0,V,0,V,0,V,0,V,1,V,4,V,8,V,6,V,4,V,5,V,4,V,2,V,2,V,2,V,3,V,4,V,5,V,4,V,3,V,1,V,0,V,0,N
54,8,28079054_8_8,8,V,11,V,10,V,13,V,13,V,14,V,22,V,33,V,40,V,30,V,19,V,18,V,15,V,9,V,9,V,12,V,13,V,15,V,26,V,31,V,25,V,15,V,11,V,0,N
54,9,28079054_9_A,6,V,5,V,8,V,8,V,10,V,8,V,5,V,10,V,12,V,12,V,9,V,7,V,8,V,9,V,11,V,8,V,8,V,9,V,7,V,8,V,10,V,9,V,6,V,0,N
56,10,28079056_10_47,20,V,18,V,20,V,17,V,14,V,19,V,22,V,25,V,29,V,32,V,31,V,32,V,24,V,32,V,16,V,17,V,18,V,15,V,22,V,23,V,18,V,16,V,23,V,0,N
56,12,28079056_12_8,21,V,24,V,20,V,20,V,19,V,20,V,49,V,86,V,86,V,74,V,53,V,37,V,36,V,39,V,39,V,38,V,46,V,61,V,77,V,80,V,78,V,52,V,34,V,0,N
56,6,28079056_6_48,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0,N
56,7,28079056_7_8,4,V,5,V,4,V,5,V,5,V,5,V,12,V,22,V,20,V,19,V,14,V,11,V,10,V,11,V,11,V,10,V,11,V,14,V,19,V,18,V,16,V,11,V,8,V,0,N
56,8,28079056_8_8,15,V,17,V,14,V,13,V,12,V,13,V,30,V,53,V,55,V,45,V,32,V,21,V,20,V,22,V,22,V,22,V,28,V,39,V,49,V,52,V,53,V,36,V,22,V,0,N
56,9,28079056_9_47,10,V,10,V,15,V,12,V,9,V,13,V,15,V,15,V,15,V,13,V,16,V,20,V,9,V,9,V,4,V,6,V,6,V,5,V,11,V,13,V,9,V,7,V,12,V,0,N
57,10,28079057_10_47,10,V,10,V,16,V,19,V,15,V,17,V,21,V,17,V,19,V,26,V,24,V,20,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,V,4,V,12,V,15,V,0,N
57,12,28079057_12_8,7,V,3,V,3,V,3,V,3,V,4,V,6,V,10,V,16,V,19,V,11,V,9,V,11,V,10,V,10,V,8,V,9,V,11,V,15,V,12,V,15,V,10,V,5,V,0,N
57,7,28079057_7_8,2,V,0,V,0,V,0,V,0,V,0,V,1,V,1,V,2,V,3,V,2,V,2,V,3,V,3,V,3,V,2,V,3,V,3,V,3,V,2,V,3,V,2,V,1,V,0,N
57,8,28079057_8_8,5,V,3,V,3,V,2,V,3,V,4,V,5,V,9,V,13,V,14,V,7,V,5,V,6,V,5,V,6,V,5,V,5,V,7,V,10,V,10,V,10,V,7,V,4,V,0,N
57,9,28079057_9_A,5,V,7,V,11,V,14,V,10,V,11,V,14,V,10,V,11,V,14,V,15,V,10,V,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,V,2,V,5,V,9,V,0,N
58,12,28079058_12_8,3,V,2,V,2,V,2,V,2,V,5,V,20,V,46,V,33,V,28,V,6,V,4,V,4,V,0,N,0,N,3,V,3,V,5,V,5,V,5,V,11,V,5,V,2,V,0,N
58,14,28079058_14_6,96,V,87,V,82,V,80,V,71,V,61,V,39,V,18,V,21,V,40,V,74,V,80,V,85,V,0,N,0,N,90,V,89,V,87,V,83,V,80,V,63,V,72,V,75,V,0,N
58,7,28079058_7_8,0,V,0,V,0,V,0,V,0,V,0,V,1,V,7,V,3,V,6,V,1,V,0,V,0,V,0,N,0,N,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,0,N
58,8,28079058_8_8,3,V,2,V,2,V,2,V,2,V,5,V,18,V,35,V,28,V,19,V,5,V,4,V,3,V,0,N,0,N,3,V,3,V,5,V,5,V,5,V,11,V,5,V,2,V,0,N
59,12,28079059_12_8,27,V,20,V,10,V,9,V,8,V,10,V,23,V,30,V,38,V,29,V,19,V,7,V,4,V,6,V,5,V,3,V,3,V,7,V,6,V,15,V,11,V,8,V,7,V,0,N
59,14,28079059_14_6,63,V,62,V,69,V,74,V,65,V,57,V,46,V,47,V,46,V,54,V,67,V,81,V,87,V,90,V,90,V,91,V,89,V,86,V,85,V,75,V,75,V,73,V,71,V,0,N
59,7,28079059_7_8,1,V,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,3,V,3,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,0,V,0,V,0,V,0,V,0,N
59,8,28079059_8_8,26,V,20,V,10,V,8,V,7,V,10,V,22,V,30,V,36,V,25,V,15,V,5,V,3,V,5,V,4,V,2,V,2,V,5,V,5,V,14,V,11,V,7,V,6,V,0,N
60,10,28079060_10_47,9,V,10,V,12,V,11,V,11,V,11,V,12,V,13,V,13,V,14,V,14,V,16,V,14,V,13,V,12,V,11,V,9,V,10,V,10,V,11,V,13,V,14,V,14,V,0,N
60,12,28079060_12_8,9,V,5,V,5,V,3,V,5,V,6,V,10,V,26,V,27,V,24,V,14,V,9,V,9,V,7,V,7,V,7,V,7,V,10,V,9,V,15,V,17,V,16,V,6,V,0,N
60,14,28079060_14_6,83,V,80,V,80,V,82,V,75,V,71,V,68,V,56,V,60,V,64,V,70,V,80,V,85,V,88,V,89,V,90,V,90,V,87,V,85,V,76,V,69,V,69,V,75,V,0,N
60,7,28079060_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,2,V,2,V,2,V,1,V,2,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,1,V,0,V,0,N
60,8,28079060_8_8,9,V,5,V,5,V,3,V,5,V,6,V,9,V,24,V,24,V,20,V,12,V,7,V,7,V,5,V,5,V,5,V,5,V,8,V,8,V,13,V,17,V,15,V,5,V,0,N
60,9,28079060_9_A,4,V,4,V,4,V,5,V,5,V,6,V,6,V,6,V,6,V,6,V,6,V,6,V,5,V,4,V,4,V,4,V,4,V,4,V,4,V,3,V,4,V,4,V,5,V,0,N
8,1,28079008_1_38,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,2,V,3,V,2,V,2,V,0,N
8,10,28079008_10_47,20,V,11,V,11,V,9,V,10,V,13,V,12,V,12,V,16,V,20,V,22,V,24,V,24,V,21,V,16,V,24,V,19,V,19,V,19,V,12,V,0,V,4,V,20,V,0,N
8,12,28079008_12_8,12,V,25,V,14,V,7,V,7,V,8,V,13,V,25,V,30,V,35,V,28,V,23,V,19,V,19,V,17,V,16,V,14,V,20,V,21,V,31,V,35,V,23,V,12,V,0,N
8,14,28079008_14_6,76,V,58,V,67,V,78,V,73,V,66,V,60,V,50,V,48,V,48,V,58,V,67,V,76,V,81,V,85,V,83,V,81,V,75,V,71,V,56,V,49,V,58,V,65,V,0,N
8,20,28079008_20_59,2,V,2.2,V,1.6,V,1.5,V,1.4,V,1.5,V,1.3,V,1.4,V,2,V,2.7,V,2.7,V,4.1,V,4.3,V,6,V,3.1,V,2.5,V,4,V,3.4,V,3.6,V,3.3,V,4,V,2.9,V,2,V,0,N
8,30,28079008_30_59,0.2,V,0.2,V,0.2,V,0.1,V,0.1,V,0.1,V,0.1,V,0.2,V,0.3,V,0.4,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.4,V,0.4,V,0.5,V,0.7,V,0.7,V,0.3,V,0,N
8,35,28079008_35_59,0.4,V,0.4,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.3,V,0.4,V,0.6,V,0.6,V,0.5,V,0.5,V,0.5,V,0.4,V,0.4,V,0.5,V,0.5,V,0.6,V,0.6,V,0.8,V,0.6,V,0.4,V,0,N
8,6,28079008_6_48,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.3,V,0.2,V,0.2,V,0.2,V,0.2,V,0.2,V,0.3,V,0.3,V,0.3,V,0.4,V,0.3,V,0.2,V,0,N
8,7,28079008_7_8,0,V,0,V,0,V,0,V,0,V,0,V,0,V,1,V,2,V,4,V,4,V,3,V,3,V,3,V,3,V,2,V,2,V,2,V,1,V,1,V,1,V,0,V,0,V,0,N
8,8,28079008_8_8,12,V,25,V,14,V,7,V,7,V,8,V,13,V,24,V,28,V,30,V,22,V,18,V,15,V,15,V,13,V,12,V,12,V,17,V,19,V,30,V,34,V,22,V,12,V,0,N
8,9,28079008_9_47,8,V,4,V,6,V,4,V,5,V,6,V,5,V,5,V,7,V,8,V,9,V,7,V,5,V,4,V,5,V,14,V,10,V,10,V,10,V,6,V,0,V,2,V,11,V,0,N
